,name,salary_from,salary_to,salary_currency,area_name,published_at
298,Архитектор по ИТ инфраструктуре,,,,Москва,2022-12-23T10:24:10+0300
299,Аналитик отдела маркетинга,48000.0,,RUR,Новосибирск,2022-12-23T06:26:28+0300
300,Site Reliability Engineering (SRE),,280000.0,RUR,Владивосток,2022-12-23T11:50:37+0300
301,Фрезеровщик,50000.0,80000.0,RUR,Москва,2022-12-23T11:26:05+0300
302,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Курган,2022-12-23T07:20:50+0300
303,Инженер по пожарной безопасности в г.Ярославль,,,,Иваново (Ивановская область),2022-12-23T08:26:03+0300
304,Шлифовщик профильной шлифовки,45000.0,,RUR,Чебоксары,2022-12-23T09:10:21+0300
305,Программист 1С (г.Барнаул),120000.0,,RUR,Барнаул,2022-12-23T08:13:42+0300
306,Senior Android разработчик в онлайн-кинотеатр KION,,,,Москва,2022-12-23T11:05:21+0300
307,Токарь,36000.0,,RUR,Саранск,2022-12-23T11:32:28+0300
308,Senior/Lead Python-разработчик,,,,Барнаул,2022-12-23T07:57:28+0300
309,Механик,36000.0,,RUR,Тула,2022-12-23T07:59:11+0300
310,Программист 1С,,,,Дмитров,2022-12-23T10:15:10+0300
311,Программист 1С,,,,Санкт-Петербург,2022-12-23T10:56:48+0300
312,Аналитик по направлению систем виртуализации,,,,Москва,2022-12-23T09:37:39+0300
313,Главный механик/специалист по эксплуатации и ремонту технологического оборудования/инженер-механик,70000.0,70000.0,RUR,Сланцы,2022-12-23T10:29:05+0300
314,Инженер ТП и ПО,43000.0,,RUR,Минеральные Воды,2022-12-23T10:54:07+0300
315,Руководитель отдела разработки и сопровождения 1С-систем (ИТ-компания),150000.0,,RUR,Иркутск,2022-12-23T06:57:54+0300
316,Ведущий инженер-программист,110000.0,,RUR,Москва,2022-12-23T11:15:17+0300
317,Программист 1С,,,,Владимир,2022-12-23T10:15:10+0300
318,Второй механик (судовой),89000.0,,RUR,Большой Камень,2022-12-23T08:21:10+0300
319,Старший механик,53000.0,53000.0,RUR,Елабуга,2022-12-23T10:42:41+0300
320,Специалист поддержки в Яндекс Бизнес,13000.0,33800.0,RUR,Улан-Удэ,2022-12-23T10:24:27+0300
321,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Ставрополь,2022-12-23T10:24:48+0300
322,Мастер по ремонту компьютеров,40000.0,,RUR,Чита,2022-12-23T11:56:22+0300
323,Наладчик ЧПУ (Фрезерная группа),75000.0,80000.0,RUR,Березовский (Свердловская область),2022-12-23T09:43:56+0300
324,Слесарь-ремонтник (5-6 разряд),,,,Москва,2022-12-23T10:17:33+0300
325,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Тюмень,2022-12-23T07:20:50+0300
326,Системный администратор Linux,,,,Москва,2022-12-23T11:14:49+0300
327,Наладчик-оператор упаковочного оборудования,,58000.0,RUR,Москва,2022-12-23T08:14:18+0300
328,Разработчик Битрикс,80000.0,,RUR,Краснодар,2022-12-23T08:09:26+0300
329,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Ульяновск,2022-12-23T10:24:41+0300
330,Специалист поддержки в Яндекс Бизнес,13000.0,33800.0,RUR,Архангельск,2022-12-23T10:24:27+0300
331,Ночной специалист технической поддержки,18000.0,45000.0,RUR,Екатеринбург,2022-12-23T09:45:24+0300
332,Фрезеровщик,45000.0,,RUR,Чебоксары,2022-12-23T08:41:44+0300
333,Токарь-расточник,55000.0,,RUR,Ростов-на-Дону,2022-12-23T09:59:02+0300
334,Инженер-механик,,85000.0,RUR,Сланцы,2022-12-23T11:57:58+0300
335,Backend разработчик 1C-Bitrix,80000.0,160000.0,RUR,Воронеж,2022-12-23T10:51:53+0300
336,Фрезеровщик-универсал,60000.0,100000.0,RUR,Нижний Новгород,2022-12-23T08:50:55+0300
337,Токарь (6 разряд),60000.0,60000.0,RUR,Тула,2022-12-23T08:55:27+0300
338,Фрезеровщик,,,,Ивантеевка,2022-12-23T11:03:35+0300
339,Оператор станка (деревообработка),27700.0,27700.0,RUR,Барнаул,2022-12-23T09:47:43+0300
340,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Киров (Кировская область),2022-12-23T10:24:43+0300
341,Архитектор по инфраструктуре,,,,Москва,2022-12-23T10:23:57+0300
342,Инженер по администрированию программ: Windchill / Creo,80000.0,100000.0,RUR,Санкт-Петербург,2022-12-23T10:09:30+0300
343,Руководитель бюро планирования ремонтов,,,,Казань,2022-12-23T09:56:08+0300
344,Механик по эксплуатации,50000.0,,RUR,Киров (Кировская область),2022-12-23T08:47:32+0300
345,Senior Java Разработчик,,,,Москва,2022-12-23T10:57:23+0300
346,Ведущий консультант-аналитик 1С,,,,Владимир,2022-12-23T08:59:09+0300
347,SDET / Software Development Engineer in Test,,,,Москва,2022-12-23T11:25:59+0300
348,Оператор токарных станков с программным управлением (5 разряд),65000.0,100000.0,RUR,Москва,2022-12-23T10:41:58+0300
349,Старший системный администратор Linux,260000.0,,RUR,Москва,2022-12-23T10:04:34+0300
350,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Сургут,2022-12-23T07:20:50+0300
351,Инженер-энергетик,,30000.0,RUR,Тула,2022-12-23T09:54:03+0300
352,DevOps инженер (Dev Ops),1500.0,3500.0,USD,Алматы,2022-12-23T09:50:45+0300
353,Senior Front-end developer,,,,Москва,2022-12-23T10:28:18+0300
354,Разработчик DWH (DATA Engineer),,,,Екатеринбург,2022-12-23T09:46:37+0300
355,Руководитель направления по внедрению и развитию ИТ услуг,,,,Москва,2022-12-23T10:24:05+0300
356,Инженер по эксплуатации информационных систем,100000.0,,RUR,Хабаровск,2022-12-23T11:10:48+0300
357,Программист 1С,,,,Йошкар-Ола,2022-12-23T09:58:31+0300
358,Frontend-разработчик (Angular),,,,Пермь,2022-12-23T09:52:48+0300
359,Регулировщик РЭА и приборов,,,,Екатеринбург,2022-12-23T08:14:07+0300
360,Системный аналитик,,,,Москва,2022-12-23T11:34:35+0300
361,"Главный специалист по поддержке пользователей (1,5 линия)",,,,Москва,2022-12-23T09:47:39+0300
362,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Рязань,2022-12-23T10:24:48+0300
363,Senior/Lead Python-разработчик,,,,Екатеринбург,2022-12-23T07:57:28+0300
364,Руководитель проектов по ИТ-инфраструктуре,,,,Москва,2022-12-23T10:24:18+0300
365,Инженер КИПиА,,,,Чита,2022-12-23T10:18:05+0300
366,Регулировщик РЭА и приборов,26000.0,,RUR,Екатеринбург,2022-12-23T09:11:08+0300
367,Инженер КИПиА,,,,Улан-Удэ,2022-12-23T10:18:51+0300
368,Разработчик хранилища данных,,,,Екатеринбург,2022-12-23T07:59:45+0300
369,Специалист-консультант 1С (оперативный учёт),,,,Ярославль,2022-12-23T10:06:56+0300
370,Главный инженер качества данных,,,,Санкт-Петербург,2022-12-23T09:57:56+0300
371,Фрезеровщик,,,,Сафоново,2022-12-23T09:23:52+0300
372,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Смоленск,2022-12-23T10:24:36+0300
373,"Инженер-программист АСУ ТП, SCADA",60000.0,,RUR,Саратов,2022-12-23T09:44:35+0300
374,Главный аналитик качества данных,,,,Санкт-Петербург,2022-12-23T10:27:02+0300
375,Senior Java - разработчик,,,,Москва,2022-12-23T10:55:55+0300
376,Senior/Lead Python-разработчик,,,,Уфа,2022-12-23T07:57:28+0300
377,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Липецк,2022-12-23T10:24:38+0300
378,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Тула,2022-12-23T10:24:36+0300
379,"Бизнес-аналитик 1C, ERP",,,,Екатеринбург,2022-12-23T07:59:50+0300
380,TechLead Research Engineer (NLP/Speech),300000.0,400000.0,RUR,Иннополис,2022-12-23T10:07:47+0300
381,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Тула,2022-12-23T10:24:33+0300
382,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Севастополь,2022-12-23T10:24:49+0300
383,Разработчик HR-функциональности на технологии 1С:Предприятие.Элемент,,,,Москва,2022-12-23T10:54:49+0300
384,Senior/Lead Python-разработчик,,,,Пермь,2022-12-23T07:57:28+0300
385,Программист FPGA (ПЛИС),,,,Мытищи,2022-12-23T09:27:03+0300
386,Инженер по нагрузочному тестированию платформы 1С:Предприятие и типовых конфигураций,,,,Москва,2022-12-23T10:55:09+0300
387,"Электромеханик участка сигнализации, централизации и блокировки",63000.0,,RUR,Киселевск,2022-12-23T07:14:09+0300
388,Фрезеровщик,,,,Пушкино (Московская область),2022-12-23T11:03:35+0300
389,Мастер КИПиА,,,,Улан-Удэ,2022-12-23T10:21:17+0300
390,Графический дизайнер (г. Троицк),35000.0,45000.0,RUR,Троицк (Московская область),2022-12-23T10:06:04+0300
391,Специалист по разработке и сопровождению ESB,,,,Санкт-Петербург,2022-12-23T08:38:17+0300
392,Токарь-расточник,,70000.0,RUR,Москва,2022-12-23T10:55:19+0300
393,Мастер КИПиА,,,,Чита,2022-12-23T10:20:43+0300
394,TechLead Research Engineer (NLP/Speech),300000.0,400000.0,RUR,Санкт-Петербург,2022-12-23T10:07:50+0300
395,Программист 1C,90000.0,,RUR,Красноярск,2022-12-23T11:43:10+0300
396,Системный инженер Linux (Сочи),,,,Сочи,2022-12-23T10:42:01+0300
397,Специалист поддержки в Яндекс Бизнес,13000.0,33800.0,RUR,Владивосток,2022-12-23T10:24:26+0300
398,.net разработчик,,,,Москва,2022-12-23T07:38:37+0300
399,Senior/Lead Python-разработчик,,,,Тюмень,2022-12-23T07:57:28+0300
400,Senior/Lead C++ разработчик,,,,Санкт-Петербург,2022-12-23T07:09:46+0300
401,Ведущий инженер-механик,,109000.0,RUR,Сланцы,2022-12-23T11:57:27+0300
402,Методолог сервисной модели,,,,Москва,2022-12-23T10:24:31+0300
403,Специалист по видеонаблюдению,50000.0,,RUR,Гусев,2022-12-23T11:02:49+0300
404,Разработчик ЦФТ-Банк (IBSO),,,,Москва,2022-12-23T10:54:16+0300
405,Токарь-карусельщик 4-5 разряда,,,,Калуга,2022-12-23T11:35:47+0300
406,Middle/Middle+ QA Automation Engineer (Java),,,,Москва,2022-12-23T10:30:54+0300
407,Senior/Lead Python-разработчик,,,,Ижевск,2022-12-23T07:57:28+0300
408,Мастер КИПиА,,,,Иркутск,2022-12-23T10:21:02+0300
409,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Набережные Челны,2022-12-23T10:24:46+0300
410,Станочник широкого профиля (4 разряд),45000.0,45000.0,RUR,Тула,2022-12-23T09:01:30+0300
411,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Подольск (Московская область),2022-12-23T10:24:46+0300
412,Старший механик нефтепереработки,,,,Комсомольск-на-Амуре,2022-12-23T10:23:42+0300
413,Системный администратор Linux,200000.0,,RUR,Москва,2022-12-23T10:04:20+0300
414,Senior/Lead Python-разработчик,,,,Самара,2022-12-23T07:57:28+0300
415,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Кемерово,2022-12-23T10:24:41+0300
416,Шлифовщик-полировщик (ферриты и керамика),100650.0,,RUR,Санкт-Петербург,2022-12-23T11:18:54+0300
417,Senior/Lead Python-разработчик,,,,Красноярск,2022-12-23T07:57:28+0300
418,Senior/Lead Python-разработчик,,,,Омск,2022-12-23T07:57:28+0300
419,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Курск,2022-12-23T10:24:39+0300
420,Автор по программированию,,50000.0,RUR,Нижний Новгород,2022-12-23T08:32:59+0300
421,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Калуга,2022-12-23T10:24:41+0300
422,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Сочи,2022-12-23T10:24:48+0300
423,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Подольск (Московская область),2022-12-23T10:24:42+0300
424,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Иваново (Ивановская область),2022-12-23T10:24:40+0300
425,Инженер-электронщик (медицинское оборудование),,,,Мытищи,2022-12-23T11:37:47+0300
426,Senior/Lead C++ разработчик,,,,Екатеринбург,2022-12-23T07:09:46+0300
427,Инженер АСУ ТП,,104000.0,RUR,Москва,2022-12-23T11:42:02+0300
428,Senior/Lead Python-разработчик,,,,Томск,2022-12-23T07:57:28+0300
429,Ведущий программист 1С,160000.0,180000.0,RUR,Санкт-Петербург,2022-12-23T10:56:30+0300
430,Автор по программированию,,50000.0,RUR,Челябинск,2022-12-23T08:32:59+0300
431,Разработчик интеграционных модулей 1С/XSLT,,150000.0,RUR,Екатеринбург,2022-12-23T10:13:50+0300
432,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Новосибирск,2022-12-23T10:24:34+0300
433,Senior/Lead C++ разработчик,,,,Новосибирск,2022-12-23T07:09:46+0300
434,Senior/Lead Python-разработчик,,,,Краснодар,2022-12-23T07:57:28+0300
435,"Оператор станков с ПУ 3-5 разряда (фрезерная, сверлильная группа)",,,,Калуга,2022-12-23T09:11:49+0300
436,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Вологда,2022-12-23T10:24:40+0300
437,Инженер-программист C#,,,,Тольятти,2022-12-23T06:45:14+0300
438,Руководитель отдела разработки блочно-комплектного энергетического оборудования,80000.0,,RUR,Саратов,2022-12-23T10:28:53+0300
439,Автор по программированию,,50000.0,RUR,Казань,2022-12-23T08:32:59+0300
440,Столяр,,39330.0,RUR,Москва,2022-12-23T11:54:36+0300
441,Middle/senior Golang Developer [Kubernetes],,,,Москва,2022-12-23T11:33:09+0300
442,Senior Java-разработчик,,,,Казань,2022-12-23T11:17:34+0300
443,Senior Kotlin Multiplatform разработчик,,,,Новосибирск,2022-12-23T10:28:51+0300
444,Специалист по разработке и сопровождению ESB,,,,Москва,2022-12-23T08:38:12+0300
445,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Череповец,2022-12-23T10:24:48+0300
446,Senior/Lead Python-разработчик,,,,Новосибирск,2022-12-23T07:57:28+0300
447,Автор по программированию,,50000.0,RUR,Омск,2022-12-23T08:32:59+0300
448,Разработчик Micro Focus Service Manager,,,,Казань,2022-12-23T09:27:57+0300
449,Автор по программированию,,50000.0,RUR,Екатеринбург,2022-12-23T08:32:59+0300
450,Senior Java-разработчик,,,,Нижний Новгород,2022-12-23T11:17:34+0300
451,TechLead Research Engineer (NLP/Speech),300000.0,400000.0,RUR,Москва,2022-12-23T10:07:53+0300
452,Аналитик 1С,,,,Тольятти,2022-12-23T06:45:23+0300
453,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Грозный,2022-12-23T10:24:47+0300
454,Data Engineer,,,,Москва,2022-12-23T11:28:34+0300
455,Автор по программированию,,50000.0,RUR,Ростов-на-Дону,2022-12-23T08:32:59+0300
456,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Сочи,2022-12-23T10:24:47+0300
457,Senior Kotlin Multiplatform разработчик,,,,Москва,2022-12-23T10:28:51+0300
458,Network Administrator / Сетевой Администратор,,,,Москва,2022-12-23T11:48:08+0300
459,Node.JS Backend Developer,,,,Санкт-Петербург,2022-12-23T16:36:35+0300
460,Термист 4-6 разряд,60000.0,,RUR,Москва,2022-12-23T12:03:03+0300
461,Middle инженер тестирования,,,,Москва,2022-12-23T14:26:08+0300
462,Специалист технической поддержки / Инженер Helpdesk / Системный администратор,55000.0,,RUR,Санкт-Петербург,2022-12-23T16:44:18+0300
463,Помощник системного администратора (стажер),,,,Бронницы,2022-12-23T14:59:02+0300
464,Инженер сопровождения АБС ЦФТ,,,,Уфа,2022-12-23T14:58:27+0300
465,"Сервисный инженер по ремонту копировальной техники, Принтеров, МФУ",40000.0,60000.0,RUR,Санкт-Петербург,2022-12-23T13:34:09+0300
466,Специалист технической поддержки,30000.0,,RUR,Пенза,2022-12-23T16:08:44+0300
467,Программист,,,,Москва,2022-12-23T15:52:04+0300
468,Инженер отдела сервиса,50000.0,,RUR,Москва,2022-12-23T13:30:29+0300
469,Стажер Битрикс-разработчик,,,,Курск,2022-12-23T12:10:34+0300
470,Графический дизайнер,,,,Москва,2022-12-23T14:06:39+0300
471,Руководитель проектов внедрения,150000.0,,RUR,Санкт-Петербург,2022-12-23T15:03:40+0300
472,Мобильный механик по транспорту (Предрейсовый контроль ТС),35000.0,65000.0,RUR,Москва,2022-12-23T12:09:35+0300
473,Оператор станка с ЧПУ,30000.0,45000.0,RUR,Ижевск,2022-12-23T15:14:59+0300
474,Инженер технической поддержки (Wireless),,120000.0,RUR,Новосибирск,2022-12-23T12:28:47+0300
475,PHP-программист,,150000.0,RUR,Новокузнецк,2022-12-23T13:05:59+0300
476,Senior Python-разработчик,,,,Москва,2022-12-23T17:53:38+0300
477,Специалист службы технической поддержки,40000.0,,RUR,Видное,2022-12-23T14:04:17+0300
478,Специалист технической поддержки,75000.0,75000.0,RUR,Москва,2022-12-23T14:14:47+0300
479,Теплотехник,40000.0,45000.0,RUR,Оренбург,2022-12-23T13:22:46+0300
480,Системный администратор,90000.0,,RUR,Санкт-Петербург,2022-12-23T16:52:26+0300
481,Инженер технической поддержки пользователей АРМ,,,,Санкт-Петербург,2022-12-23T14:03:41+0300
482,Механик,80000.0,,RUR,Новосибирск,2022-12-23T15:10:40+0300
483,Инженер-конструктор пресс-форм,100000.0,,RUR,Челябинск,2022-12-23T15:43:32+0300
484,Администратор вычислительной сети,,,,Волжский (Волгоградская область),2022-12-23T14:58:45+0300
485,Рабочий по комплексному обслуживанию зданий,20000.0,,RUR,Курск,2022-12-23T14:15:01+0300
486,Аналитик (отдел информационных систем клиентского сервиса),,,,Москва,2022-12-23T15:58:15+0300
487,Системный аналитик,150000.0,,RUR,Москва,2022-12-23T16:20:44+0300
488,Game Designer,,,,Санкт-Петербург,2022-12-23T17:21:04+0300
489,Node.JS Backend Developer,,,,Москва,2022-12-23T16:36:39+0300
490,Разработчик Oracle,,,,Москва,2022-12-23T17:35:18+0300
491,Выездной инженер технической поддержки,45000.0,,RUR,Рязань,2022-12-23T15:01:29+0300
492,Менеджер уровня сервиса (направление: телеком),,,,Санкт-Петербург,2022-12-23T13:23:29+0300
493,Токарь-универсал,35000.0,70000.0,RUR,Омск,2022-12-23T13:22:37+0300
494,Руководитель проектов,150000.0,180000.0,RUR,Москва,2022-12-23T14:15:08+0300
495,Менеджер по операционной поддержке проекта (чат-бот),,,,Москва,2022-12-23T15:58:37+0300
496,Middle/Senior Java developer,,,,Москва,2022-12-23T13:50:06+0300
497,Дежурный системный инженер (команда мониторинга),,,,Москва,2022-12-23T12:57:09+0300
498,Бизнес-аналитик 1С ЗУП,,,,Москва,2022-12-23T17:03:40+0300
499,Аналитик (управление аналитическими данными),,,,Москва,2022-12-23T15:58:30+0300
500,Сервисный инженер ЦТО-Одинцово,65000.0,90000.0,RUR,Одинцово,2022-12-23T17:46:21+0300
501,Ведущий специалист по информационным технологиям,,110000.0,RUR,Санкт-Петербург,2022-12-23T16:49:46+0300
502,Специалист по администрированию ИС,70000.0,70000.0,RUR,Москва,2022-12-23T17:20:16+0300
503,Наладчик оборудования (пивобезалкогольного производства),34000.0,50000.0,RUR,Брянск,2022-12-23T17:13:44+0300
504,Системный администратор,40000.0,50000.0,RUR,Нижний Новгород,2022-12-23T15:51:30+0300
505,Сервисный инженер (Северные районы),70000.0,,RUR,Санкт-Петербург,2022-12-23T17:33:46+0300
506,Инженер поддержки АБС,,,,Самара,2022-12-23T14:58:33+0300
507,Техник по обслуживанию зданий магазинов,45000.0,,RUR,Ярославль,2022-12-23T15:49:33+0300
508,Инженер отдела автоматизации,50000.0,,RUR,Казань,2022-12-23T16:20:44+0300
509,Специалист по информационным системам,60000.0,,RUR,Москва,2022-12-23T13:26:55+0300
510,Координатор/руководитель проектов в отдел разработки электронных курсов,60000.0,80000.0,RUR,Москва,2022-12-23T13:00:04+0300
511,Старший механик ремонтного цеха,100000.0,,RUR,Белово,2022-12-23T13:49:39+0300
512,Администратор сред,,,,Москва,2022-12-23T13:42:54+0300
513,"Разработчик JavaScript (Vue), Аккаунт продавца, Инструменты торговой площадки",,,,Москва,2022-12-23T13:37:14+0300
514,Frontend-разработчик,150000.0,,RUR,Санкт-Петербург,2022-12-23T13:43:38+0300
515,Инженер слаботочных систем,52000.0,,RUR,Шахты,2022-12-23T14:57:23+0300
516,Технический специалист БИТРИКС24,50000.0,80000.0,RUR,Новая Адыгея,2022-12-23T13:22:29+0300
517,Аналитик по внедрению CAD\PLM систем,95000.0,,RUR,Москва,2022-12-23T14:35:05+0300
518,Аналитик отдела продаж,,,,Санкт-Петербург,2022-12-23T15:32:27+0300
519,Руководитель проекта,150000.0,,RUR,Великий Новгород,2022-12-23T15:21:18+0300
520,Оператор токарного станка с ЧПУ,50000.0,70000.0,RUR,Нижний Новгород,2022-12-23T14:25:43+0300
521,Контролер технического состояния автотранспортных средств,45000.0,50000.0,RUR,Краснодар,2022-12-23T14:58:35+0300
522,Технический специалист БИТРИКС24,50000.0,80000.0,RUR,Краснодар,2022-12-23T13:22:29+0300
523,Инженер-конструктор пресс-форм,100000.0,,RUR,Долгодеревенское,2022-12-23T15:43:32+0300
524,Backend Python Engineer (в Дубаи),6500.0,,USD,Москва,2022-12-23T14:00:13+0300
525,Senior Unity Developer,,,,Москва,2022-12-23T16:25:34+0300
526,Эксперт кибербезопасности,,,,Москва,2022-12-23T15:10:55+0300
527,Эксперт кибербезопасности,,,,Краснодар,2022-12-23T15:11:10+0300
528,Графический дизайнер,50000.0,50000.0,RUR,Краснодар,2022-12-23T17:59:37+0300
529,Полировщик,54444.0,75000.0,RUR,Челябинск,2022-12-23T14:12:35+0300
530,Инженер АСУ ТП,50000.0,,RUR,Волгоград,2022-12-23T15:01:31+0300
531,Монтажник слаботочных систем,55000.0,80000.0,RUR,Екатеринбург,2022-12-23T15:48:55+0300
532,Руководитель ИТ-проектов,,,,Тюмень,2022-12-23T15:02:08+0300
533,Дизайнер наружной рекламы,25000.0,35000.0,RUR,Симферополь,2022-12-23T13:22:46+0300
534,Руководитель продакшен-направления,50000.0,,RUR,Киров (Кировская область),2022-12-23T16:26:29+0300
535,Менеджер проекта,65000.0,95000.0,RUR,Великий Новгород,2022-12-23T17:19:24+0300
536,"Frontend-разработчик в проект ""Одноклассники""",,,,Санкт-Петербург,2022-12-23T12:20:42+0300
537,Бродкаст дизайнер,180000.0,180000.0,RUR,Москва,2022-12-23T14:20:45+0300
538,Аналитик (Коммерческая служба),,,,Санкт-Петербург,2022-12-23T15:29:13+0300
539,Системный администратор,,40000.0,RUR,Осинники,2022-12-23T12:12:32+0300
540,Сервисный инженер по обслуживанию оборудования связи и навигации,60000.0,150000.0,RUR,Мурманск,2022-12-23T16:08:54+0300
541,Frontend developer Team Bravo (Desktop),,,,Тбилиси,2022-12-23T17:11:34+0300
542,Системный администратор,,,,Волжский (Волгоградская область),2022-12-23T12:44:06+0300
543,Frontend-разработчик,150000.0,,RUR,Воронеж,2022-12-23T13:43:38+0300
544,Механик-сборщик,70000.0,120000.0,RUR,Одинцово,2022-12-23T13:22:28+0300
545,Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,59000.0,,RUR,Иркутск,2022-12-23T12:08:06+0300
546,Специалист отдела сопровождения ИТ-инфраструктуры/Системный администратор,,,,Северск (Томская область),2022-12-23T15:30:13+0300
547,Менеджер проекта,,,,Москва,2022-12-23T15:25:38+0300
548,Инженер-программист С++ (железо),120000.0,,RUR,Зеленоград,2022-12-23T14:41:31+0300
549,Оператор станка с программным управлением (токарная группа),100000.0,,RUR,Санкт-Петербург,2022-12-23T13:34:58+0300
550,Дизайнер студийных пространств,120000.0,120000.0,RUR,Москва,2022-12-23T14:32:36+0300
551,Главный механик сельхозпредприятия,114900.0,114900.0,RUR,Краснодар,2022-12-23T16:49:30+0300
552,Инженер-конструктор пресс-форм,100000.0,,RUR,Еманжелинка,2022-12-23T15:43:32+0300
553,Контент-редактор,,,,Москва,2022-12-23T15:46:57+0300
554,Главный специалист Отдела повышения эффективности бизнес-процессов,,,,Москва,2022-12-23T13:16:31+0300
555,Инженер-программист,56500.0,,RUR,Тверь,2022-12-23T15:28:08+0300
556,Оператор станков с ЧПУ (плазменная резка),48000.0,,RUR,Пенза,2022-12-23T14:10:26+0300
557,"Backend developer (Node.js, Middle / Senior)",,,,Екатеринбург,2022-12-23T16:51:35+0300
558,Исследователь данных (SQL-аналитик) м. Крылатское,,,,Москва,2022-12-23T14:06:03+0300
559,Full-stack разработчик,,,,Москва,2022-12-23T13:54:24+0300
560,Копирайтер со знанием немецкого языка,,,,Москва,2022-12-23T13:03:58+0300
561,Верстальщик,,,,Москва,2022-12-23T13:49:16+0300
562,Тестировщик ПО,,140000.0,RUR,Москва,2022-12-23T14:22:53+0300
563,Токарь на DИП 300,60000.0,80000.0,RUR,Ростов-на-Дону,2022-12-23T13:14:44+0300
564,Контролер технического состояния автотранспортных средств,,,,Пермь,2022-12-23T14:21:05+0300
565,"Системный администратор (IT, защита информации)",60000.0,,RUR,Санкт-Петербург,2022-12-23T12:16:21+0300
566,QA инженер,,,,Новосибирск,2022-12-23T16:08:47+0300
567,Токарь,120000.0,130000.0,RUR,Самара,2022-12-23T17:37:26+0300
568,Системный администратор,,40000.0,RUR,Калтан,2022-12-23T12:12:32+0300
569,Главный механик сельхозпредприятия,114900.0,114900.0,RUR,Новокубанск,2022-12-23T16:49:30+0300
570,Web-разработчик (API),,,,Екатеринбург,2022-12-23T13:41:46+0300
571,Токарь,110000.0,,RUR,Барнаул,2022-12-23T12:40:10+0300
572,Менеджер по развитию бизнеса / руководитель направления ИБП (менеджер продукта ИБП),,,,Москва,2022-12-23T14:03:56+0300
573,Бизнес-аналитик (отдел развития цифровых продуктов),,,,Москва,2022-12-23T15:58:10+0300
574,"FullStack разработчик (PHP, Javascript)",,,,Москва,2022-12-23T12:42:03+0300
575,Администратор АС (Процессинговая система ППРБ. Карты),,,,Москва,2022-12-23T17:35:27+0300
576,QA Automation Engineer / Специалист по автоматизированному тестированию + manual (Remote),,,,Баку,2022-12-23T14:59:55+0300
577,Сервис менеджер (анализ защищенности и репутации),,,,Москва,2022-12-23T12:34:09+0300
578,Level Artist,,,,Санкт-Петербург,2022-12-23T14:59:50+0300
579,Программист-разработчик,65000.0,,RUR,Барнаул,2022-12-23T12:09:28+0300
580,IT Problem Manager,,,,Москва,2022-12-23T14:20:46+0300
581,Механик по выпуску,40000.0,,RUR,Йошкар-Ола,2022-12-23T15:57:51+0300
582,Специалист по расследованию компьютерных инцидентов,,,,Москва,2022-12-23T13:51:06+0300
583,Механик по выпуску / ремонту автомобилей / дорожно-строительной техники,130000.0,140000.0,RUR,Волгоград,2022-12-23T12:19:26+0300
584,DevOps specialist,,,,Тюмень,2022-12-23T14:59:38+0300
585,Риск-менеджер,,,,Москва,2022-12-23T12:47:04+0300
586,Механик по выпуску / ремонту автомобилей / дорожно-строительной техники,130000.0,140000.0,RUR,Воронеж,2022-12-23T12:19:26+0300
587,Механик по ремонту оборудования (цех по ремонту узлов и агрегатов),150000.0,,RUR,Прокопьевск,2022-12-23T12:30:00+0300
588,Программист Python (NetDevOps),60000.0,,RUR,Ростов-на-Дону,2022-12-23T16:59:39+0300
589,Инженер-программист 1 категория,40000.0,,RUR,Вологда,2022-12-23T13:49:10+0300
590,Ведущий специалист по информационной безопасности,,,,Нижний Новгород,2022-12-23T12:50:44+0300
591,Оператор-наладчик оборудования,63000.0,,RUR,Всеволожск,2022-12-23T12:12:34+0300
