,name,salary_from,salary_to,salary_currency,area_name,published_at
69,Оператор листогибочного пресса с ЧПУ,60000.0,75000.0,RUR,Нижний Новгород,2022-12-23T11:35:52+0300
70,Руководитель отдела IT,,,,Челябинск,2022-12-23T06:54:08+0300
71,Аналитик,45000.0,,RUR,Новосибирск,2022-12-23T10:11:21+0300
72,Фрезеровщик с ЧПУ (токарь-расточник с ЧПУ),110000.0,200000.0,RUR,Екатеринбург,2022-12-23T09:42:02+0300
73,Java-разработчик,,,,Москва,2022-12-23T10:09:22+0300
74,Начальник сектора (печатные платы),80000.0,100000.0,RUR,Москва,2022-12-23T11:55:36+0300
75,Руководитель проектов (Стенды датчиков),,,,Челябинск,2022-12-23T09:49:03+0300
76,Слесарь по обслуживанию и ремонту подвижного состава,49000.0,,RUR,Комсомольск-на-Амуре,2022-12-23T07:08:59+0300
77,VoIP инженер,,,,Нижний Новгород,2022-12-23T10:40:54+0300
78,QA сетевой инженер,120000.0,,RUR,Москва,2022-12-23T10:26:13+0300
79,Fullstack developer,,5000.0,USD,Москва,2022-12-23T11:50:58+0300
80,Бизнес аналитик (СУПД),,150000.0,RUR,Москва,2022-12-23T10:16:28+0300
81,Токарь-универсал,60000.0,,RUR,Улан-Удэ,2022-12-23T09:58:45+0300
82,Специалист по производственному контролю 1 категории (инженер-механик),58000.0,,RUR,Ангарск,2022-12-23T06:50:47+0300
83,Специалист по защите информации,60000.0,,RUR,Нижний Новгород,2022-12-23T08:40:13+0300
84,Специалист по видеонаблюдению,50000.0,,RUR,Черняховск,2022-12-23T11:02:49+0300
85,Технический писатель (ЕСПД ЕСКД),70000.0,90000.0,RUR,Москва,2022-12-23T09:20:13+0300
86,"ИТ-инженер по сопровождению в дивизион ""Цифровой корпоративный Банк""",,,,Хабаровск,2022-12-23T09:41:07+0300
87,Дендролог,50000.0,,RUR,Симферополь,2022-12-23T09:00:10+0300
88,Главный/Ведущий инженер (администратор средств защиты информации),,,,Красноярск,2022-12-23T09:12:24+0300
89,Разработчик Greenplum,,,,Москва,2022-12-23T10:09:37+0300
90,Инженер-программист,,,,Нижневартовск,2022-12-23T06:15:56+0300
91,"Руководитель проекта ""Честный знак""",150000.0,,RUR,Москва,2022-12-23T10:07:26+0300
92,Инженер по сопровождению,,,,Москва,2022-12-23T10:09:33+0300
93,Сотрудник пресс-центра/журналист,20000.0,25000.0,RUR,Бердск,2022-12-23T06:08:29+0300
94,Инженер по сопровождению информационных систем (техническая поддержка портала),,,,Краснодар,2022-12-23T09:10:57+0300
95,Менеджер ИТ инфраструктуры,,,,Москва,2022-12-23T09:27:15+0300
96,IT аналитик разработки ПО,85800.0,,RUR,Череповец,2022-12-23T11:15:06+0300
97,.NET Разработчик,,,,Алматы,2022-12-23T10:22:09+0300
98,Главный специалист отдела планирование закупок МТР (г. Березники),,,,Березники,2022-12-23T11:56:13+0300
99,Наладчик станков ЧПУ (токарный/фрезерный),105000.0,,RUR,Узловая,2022-12-23T09:24:15+0300
100,Сетевой инженер,,60000.0,RUR,Москва,2022-12-23T10:31:14+0300
101,Инженер слаботочных систем,52000.0,,RUR,Гуково,2022-12-23T11:54:31+0300
102,Электромеханик связи,21000.0,,RUR,Иваново (Ивановская область),2022-12-23T10:36:36+0300
103,Оператор станков с ЧПУ,50000.0,70000.0,RUR,Новочебоксарск,2022-12-23T10:32:55+0300
104,Ведущий инженер-энергетик,35000.0,,RUR,Калач-на-Дону,2022-12-23T11:38:47+0300
105,Специалист по сервисному обслуживанию банковского оборудования,50000.0,,RUR,Хабаровск,2022-12-23T08:06:33+0300
106,Системный администратор,60000.0,,RUR,Самара,2022-12-23T08:31:33+0300
107,Project manager,,100000.0,RUR,Тула,2022-12-23T11:07:40+0300
108,Дизайнер,,,,Красная Поляна,2022-12-23T11:22:16+0300
109,Дизайнер,40000.0,40000.0,RUR,Киров (Кировская область),2022-12-23T11:38:00+0300
110,Ночной консультант службы поддержки пользователей,15600.0,39000.0,RUR,Санкт-Петербург,2022-12-23T09:46:36+0300
111,Сервисный механик по с/х технике,65000.0,,RUR,Воронеж,2022-12-23T10:30:56+0300
112,Начальник отдела строительства и эксплуатации гражданских объектов,60000.0,65000.0,RUR,Тула,2022-12-23T11:39:51+0300
113,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Ханты-Мансийск,2022-12-23T07:20:50+0300
114,Аналитик/системный аналитик,,,,Новосибирск,2022-12-23T10:56:33+0300
115,Рабочий по комплексному обслуживанию зданий (дворник),56000.0,,RUR,Москва,2022-12-23T06:41:22+0300
116,Инженер/механик,,,,Хохол,2022-12-23T10:30:26+0300
117,Специалист по анализу рынка запасных частей,,,,Москва,2022-12-23T09:27:23+0300
118,Инженер-программист АСУТП,,,,Челябинск,2022-12-23T09:49:03+0300
119,Программист 1С,,,,Воронеж,2022-12-23T10:15:10+0300
120,Инженер-механик,35000.0,,RUR,Чебоксары,2022-12-23T10:30:25+0300
121,"Руководитель проектов (Направление Щиты, Шкафы НКУ)",,,,Челябинск,2022-12-23T09:49:03+0300
122,Бизнес-аналитик,50000.0,,RUR,Дзержинск (Нижегородская область),2022-12-23T09:05:47+0300
123,Менеджер IT-проектов,35000.0,,RUR,Тамбов,2022-12-23T09:36:48+0300
124,"Руководитель отдела разработки IT, СТО",,,,Екатеринбург,2022-12-23T10:11:30+0300
125,"Тестировщик (web, автоматизация)",,,,Томск,2022-12-23T06:08:55+0300
126,Старший продуктовый аналитик (AdTech),,,,Москва,2022-12-23T10:10:13+0300
127,Программист 1С,,,,Саратов,2022-12-23T10:15:10+0300
128,Программист С++ (CUDA),,,,Краснодар,2022-12-23T10:23:57+0300
129,Главный специалист по обеспечению эксплуатации механизированного транспортного состава,75000.0,86000.0,RUR,Тюмень,2022-12-23T07:05:54+0300
130,Руководитель группы сопровождения некредитных продуктов розничного бизнеса,,,,Москва,2022-12-23T11:18:54+0300
131,Full-stack web-разработчик,50000.0,70000.0,RUR,Ставрополь,2022-12-23T10:58:45+0300
132,Фрезеровщик (31 КУО),40000.0,,RUR,Ульяновск,2022-12-23T07:49:41+0300
133,Механик,29000.0,30000.0,RUR,Великий Новгород,2022-12-23T11:40:30+0300
134,Оператор токарного станка с ЧПУ,65000.0,,RUR,Обнинск,2022-12-23T08:54:07+0300
135,Механик погрузочно-разгрузочной техники (РЦ Домодедово),55000.0,,RUR,Подольск (Московская область),2022-12-23T10:02:14+0300
136,DevOps инженер (HR платформа),,,,Москва,2022-12-23T10:05:46+0300
137,Разработчик Oracle,,,,Москва,2022-12-23T11:37:36+0300
138,Старший механик,150000.0,,RUR,Чита,2022-12-23T07:52:14+0300
139,Дизайнер,,,,Королев,2022-12-23T10:21:18+0300
140,Копирайтер-журналист,25000.0,35000.0,RUR,Сочи,2022-12-23T08:44:30+0300
141,Разработчик 1С,170000.0,200000.0,RUR,Всеволожск,2022-12-23T11:55:23+0300
142,Инженер ТСБ (технических средств безопасности),,,,Южно-Сахалинск,2022-12-23T06:38:48+0300
143,Регулировщик радиоэлектронной аппаратуры и приборов (07 КАС),28000.0,67000.0,RUR,Ульяновск,2022-12-23T06:40:39+0300
144,Senior/Lead Python-разработчик,,,,Иваново (Ивановская область),2022-12-23T07:57:28+0300
145,Аналитик Управления информационных технологий,40000.0,,RUR,Красногорск,2022-12-23T10:47:32+0300
146,Программист 1С,,,,Санкт-Петербург,2022-12-23T10:15:10+0300
147,Программист 1С,,,,Ярославль,2022-12-23T10:15:10+0300
148,Инженер технической поддержки,,,,Москва,2022-12-23T10:28:02+0300
149,Оператор станков с ЧПУ,,150000.0,RUR,Новосибирск,2022-12-23T09:15:10+0300
150,Фрезеровщик,,,,Королев,2022-12-23T11:03:35+0300
151,Ведущий эксперт сектора защиты информации отдела безопасности (временная должность),,,,Липецк,2022-12-23T11:10:29+0300
152,Механик по ремонту оборудования,,90000.0,RUR,Александров,2022-12-23T10:43:55+0300
153,Бизнес-аналитик,,,,Москва,2022-12-23T11:07:55+0300
154,Специалист по сопровождению разработки (Product Owner),150000.0,,RUR,Москва,2022-12-23T09:19:03+0300
155,"Специалист поддержки пользователей (п. Светлый, Саха Якутия)",,,,Светлый,2022-12-23T10:50:37+0300
156,Мастер участка по ремонту оборудования,30000.0,,RUR,Киров (Кировская область),2022-12-23T10:54:11+0300
157,Копирайтер-журналист,25000.0,35000.0,RUR,Адлер,2022-12-23T08:44:26+0300
158,Начинающий 1 С Программист / Помощник,25000.0,,RUR,Петрозаводск,2022-12-23T11:33:25+0300
159,Наладчик технологического оборудования 3 разряда-6 разряда,50000.0,,RUR,Белово,2022-12-23T08:34:45+0300
160,"Главный специалист службы эксплуатации ПО, г.Бийск",47000.0,,RUR,Бийск,2022-12-23T08:12:00+0300
161,Pre-Sale Manager (AI Cloud),,,,Москва,2022-12-23T10:09:59+0300
162,Системный аналитик,,,,Краснодар,2022-12-23T11:25:29+0300
163,Наладчик станков и манипуляторов с ПУ,100000.0,125000.0,RUR,Набережные Челны,2022-12-23T09:46:03+0300
164,Оператор контактного центра,38000.0,53000.0,RUR,Санкт-Петербург,2022-12-23T10:23:43+0300
165,Ночной специалист технической поддержки,18000.0,45000.0,RUR,Санкт-Петербург,2022-12-23T09:45:20+0300
166,Программист 1С,80000.0,,RUR,Барнаул,2022-12-23T09:58:45+0300
167,Technical Sales Expert (Cloud Advanced),,,,Москва,2022-12-23T10:09:50+0300
168,Старший механик,53000.0,53000.0,RUR,Менделеевск,2022-12-23T10:42:31+0300
169,Оператор фрезерного станка с ЧПУ,65000.0,,RUR,Обнинск,2022-12-23T08:55:20+0300
170,Аналитик 1С,,90000.0,RUR,Санкт-Петербург,2022-12-23T11:42:25+0300
171,Механик,44000.0,52000.0,RUR,Грахово,2022-12-23T10:41:59+0300
172,Наладчик экструзионного оборудования,60000.0,,RUR,Дзержинск (Нижегородская область),2022-12-23T09:05:33+0300
173,Механик погрузочно-разгрузочной техники (РЦ Домодедово),55000.0,,RUR,Домодедово,2022-12-23T10:02:14+0300
174,Руководитель отдела разработки,,,,Москва,2022-12-23T10:54:15+0300
175,Оператор плазменной резки на производство металлоконструкций,70000.0,,RUR,Колтуши,2022-12-23T09:21:32+0300
176,Механик,44000.0,52000.0,RUR,Мамадыш,2022-12-23T10:42:05+0300
177,Токарь,55000.0,,RUR,Пермь,2022-12-23T09:16:55+0300
178,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Кемерово,2022-12-23T10:24:43+0300
179,Программист 1С,45000.0,,RUR,Калининград,2022-12-23T08:44:28+0300
180,Токарь 5-6 разряда,100000.0,,RUR,Большой Камень,2022-12-23T07:44:30+0300
181,Оператор станка на мебельное производство,,80000.0,RUR,Мытищи,2022-12-23T11:33:44+0300
182,Механик,44000.0,52000.0,RUR,Менделеевск,2022-12-23T10:42:09+0300
183,Оператор станка с ЧПУ,,,,Москва,2022-12-23T10:29:37+0300
184,Системный администратор,,,,Новосибирск,2022-12-23T08:17:45+0300
185,Слесарь-ремонтник,43000.0,,RUR,Санкт-Петербург,2022-12-23T09:26:30+0300
186,Токарь,,,,Нижний Тагил,2022-12-23T08:00:18+0300
187,Программист 1С,,,,Нижний Новгород,2022-12-23T10:15:10+0300
188,Руководитель проекта «ERP ТОиР»,250000.0,,RUR,Москва,2022-12-23T09:42:52+0300
189,"Разработчик мобильных приложений iOS, Логистика, Пункты выдачи заказов",,,,Санкт-Петербург,2022-12-23T09:51:59+0300
190,Начинающий специалист по обслуживанию банкоматов,28000.0,50000.0,RUR,Оренбург,2022-12-23T10:52:13+0300
191,Программист 1С,,,,Москва,2022-12-23T10:15:10+0300
192,Программист 1С SENIOR (гибрид/удаленка/офис),,,,Челябинск,2022-12-23T06:54:11+0300
193,Системный аналитик (Senior/middle),,,,Казань,2022-12-23T10:18:41+0300
194,Слесарь-сборщик авиационных приборов,,65000.0,RUR,Москва,2022-12-23T11:50:13+0300
195,Токарь 6 разряда,37000.0,39000.0,RUR,Салават,2022-12-23T09:25:12+0300
196,Консультант / аналитик 1С (в аккредитованную компанию),80000.0,,RUR,Саратов,2022-12-23T07:40:59+0300
197,Механик,44000.0,52000.0,RUR,Елабуга,2022-12-23T10:42:17+0300
198,Главный специалист по технической защите информации,85000.0,,RUR,Москва,2022-12-23T11:14:39+0300
199,Наладчик автоматов и полуавтоматов (КСПУ),30000.0,,RUR,Ульяновск,2022-12-23T07:49:08+0300
200,Экономист отдела прогнозирования и индикативного управления,20000.0,35000.0,RUR,Казань,2022-12-23T10:38:21+0300
201,Инженер по ремонту,,,,Волгоград,2022-12-23T08:16:30+0300
202,Фрезеровщик,,105000.0,RUR,Астрахань,2022-12-23T11:54:15+0300
203,Программист 1С,,,,Икша,2022-12-23T10:15:10+0300
204,Фрезеровщик,70000.0,,RUR,Химки,2022-12-23T10:21:52+0300
205,Специалист по видеонаблюдению,50000.0,,RUR,Нестеров,2022-12-23T11:02:49+0300
206,Инженер по видеонаблюдению,,,,Улан-Удэ,2022-12-23T09:58:47+0300
207,Фрезеровщик,,,,Щелково,2022-12-23T11:03:35+0300
208,Маркетолог-аналитик / Формирование продукта / Дирекция по развитию девелоперских проектов,,,,Москва,2022-12-23T11:56:30+0300
209,Механик гаража,40000.0,,RUR,Георгиевск,2022-12-23T10:33:08+0300
210,Фрезеровщик (4-6 разряд),,100000.0,RUR,Москва,2022-12-23T10:42:45+0300
211,Программист 1С MIDDLE (гибрид/удаленка/офис),,,,Челябинск,2022-12-23T06:54:00+0300
212,Тестировщик Middle (web),,,,Новосибирск,2022-12-23T07:05:56+0300
213,Наладчик станков и манипуляторов с программным управлением,61000.0,78000.0,RUR,Кемерово,2022-12-23T09:18:16+0300
214,Руководитель направления аналитики (RuStore),,,,Москва,2022-12-23T10:10:09+0300
215,Фрезеровщик- расточник,50000.0,,RUR,Тамбов,2022-12-23T11:41:30+0300
216,Старший механик швейного оборудования,84000.0,84000.0,RUR,Москва,2022-12-23T10:45:01+0300
217,Наладчик технологического оборудования,,,,Москва,2022-12-23T11:43:04+0300
218,Фрезеровщик,,,,Мытищи,2022-12-23T11:03:35+0300
219,Senior/Lead Python-разработчик,,,,Иркутск,2022-12-23T07:57:28+0300
220,Старший механик,53000.0,53000.0,RUR,Мамадыш,2022-12-23T10:42:27+0300
221,Фрезеровщик,130000.0,150000.0,RUR,Тверь,2022-12-23T11:19:18+0300
222,Инженер телекоммуникации,,,,Чита,2022-12-23T10:23:39+0300
223,Инженер-конструктор (программист),29380.0,67800.0,RUR,Киров (Кировская область),2022-12-23T10:24:28+0300
224,Специалист службы поддержки,31000.0,38000.0,RUR,Воронеж,2022-12-23T09:05:58+0300
225,Регулировщик РЭА и приборов,65000.0,,RUR,Москва,2022-12-23T11:17:33+0300
226,Электрик-диагност,52000.0,52000.0,RUR,Пермь,2022-12-23T09:14:51+0300
227,Консультант SAP SD,,,,Таганрог,2022-12-23T09:15:53+0300
228,DevOps\SRE инженер,,,,Москва,2022-12-23T08:55:52+0300
229,Наладчик,42800.0,,RUR,Рязань,2022-12-23T11:39:20+0300
230,Руководитель группы системных администраторов,,,,Москва,2022-12-23T10:19:58+0300
231,Инженер КИПиА,,,,Иркутск,2022-12-23T10:18:36+0300
232,Программист 1С,,,,Тамбов,2022-12-23T10:15:10+0300
233,Ведущий инженер отдела информационных технологий и связи,51644.0,51644.0,RUR,Новосибирск,2022-12-23T07:09:48+0300
234,Программист 1С:ЗУП,,,,Кемерово,2022-12-23T09:44:05+0300
235,Программист 1С (удаленно),,,,Дмитров,2022-12-23T10:39:04+0300
236,Ведущий специалист по информационной безопасности (кадровый резерв),,,,Уфа,2022-12-23T11:32:37+0300
237,Токарь-универсал,30000.0,,RUR,Новосибирск,2022-12-23T09:15:57+0300
238,Профессор кафедры математического моделирования и информационных технологий,,,,Тамбов,2022-12-23T09:36:44+0300
